date,actual
1960- 11- 1,26.9
1960- 10- 1,27
1960- 9- 1,26.9
1960- 8- 1,26.9
1960- 7- 1,26.8
1960- 6- 1,26.8
1960- 5- 1,26.7
1960- 4- 1,26.7
1960- 3- 1,26.6
1960- 2- 1,26.7
1960- 1- 1,26.7
1959- 12- 1,26.7
1959- 11- 1,26.1
1959- 10- 1,26.3
1959- 9- 1,26.4
1959- 8- 1,26.4
1959- 7- 1,26.4
1959- 6- 1,26.4
1959- 5- 1,26.3
1959- 4- 1,26
1959- 3- 1,25.9
1959- 2- 1,25.6
1959- 1- 1,25.2
